"store";"websites";"attribute_set";"type";"category_ids";"url";"entity_id";"sku";"has_options";"name";"meta_title";"meta_description";"image";"small_image";"thumbnail";"url_key";"url_path";"custom_design";"page_layout";"options_container";"image_label";"small_image_label";"thumbnail_label";"country_of_manufacture";"msrp_enabled";"msrp_display_actual_price_type";"gift_message_available";"status";"is_recurring";"visibility";"tax_class_id";"price";"special_price";"weight";"msrp";"description";"short_description";"meta_keyword";"custom_layout_update";"special_from_date";"special_to_date";"news_from_date";"news_to_date";"custom_design_from";"custom_design_to";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites";"website";"_media_image";"_media_lable";"_media_position";"_media_is_disabled"
"ge";"";"";"";"";"";"";"whb001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/j/o/jo-600-bg-104-jimmy-octan-hand-held-bag-jimmy-octan-brown-color-400x400-imaecf7sure4gmqw.jpeg";"";"7";"0"
"ge";"base";"Default";"simple";"3";"http://127.0.0.1/ray-ban-aviator-sunglasses.html?___store=ge";"9";"ms001";"0";"Ray Ban Aviator Sunglasses(Green)";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/0/r/0rb3026iw2027-ray-ban-62-400x400-imadrzyu3fhs5rzv.jpeg";"/0/r/0rb3026iw2027-ray-ban-62-400x400-imadrzyuhwh5jwhy.jpeg";"/0/r/0rb3026iw2027-ray-ban-62-400x400-imadrzyuvkbnqksa.jpeg";"ray-ban-aviator-sunglasses";"ray-ban-aviator-sunglasses.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"3902.0000";"";"150.0000";"";"Colour: Green
Lens colour: Green
Purpose: Style, Driving";"Colour: Green
Lens colour: Green
Purpose: Style, Driving";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Ray Ban Aviator Sunglasses(Green)";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"ms001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/0/r/0rb3026iw2027-ray-ban-62-400x400-imadrzyuzxrazzc3.jpeg";"";"7";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/fastrack-over-sized-sunglasses.html?___store=ge";"10";"was001";"0";"Fastrack Over-sized Sunglasses(Grey)";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/p/2/p258bk2f-fastrack-free-size-400x400-imadqrb5njzvtzud.jpeg";"/p/2/p258bk2f-fastrack-free-size-400x400-imadqrb5pfzxzzrg.jpeg";"/p/2/p258bk2f-fastrack-free-size-400x400-imadqrb5qgwzsazv.jpeg";"fastrack-over-sized-sunglasses";"fastrack-over-sized-sunglasses.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"1246.0000";"";"150.0000";"";"Lens colour: Grey
Purpose: Driving, Style
";"Lens colour: Grey
Purpose: Driving, Style
";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Fastrack Over-sized Sunglasses(Grey)";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"was001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/p/2/p258bk2f-fastrack-free-size-400x400-imadqrb5zeucapj9.jpeg";"";"4";"0"
"ge";"";"";"";"";"";"";"was001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/p/2/p258bk2f-fastrack-free-size-400x400-imadqrb59c3dgrga.jpeg";"";"5";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/people-skinny-fit-women-s-blue-jeans.html?___store=ge";"11";"wj001";"0";"People Skinny Fit Women's Blue Jeans";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/p/2/p20402124835001-people-32-200x200-imaecsttbjxcnzwj.jpeg";"/p/2/p20402124993251-people-32-400x400-imaebppyajbkxytc.jpeg";"/p/2/p20402124993251-people-32-400x400-imaebppyzugswdjh.jpeg";"people-skinny-fit-women-s-blue-jeans";"people-skinny-fit-women-s-blue-jeans.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Shipping";"1299.0000";"";"150.0000";"";"Fit: Skinny
Fabric: Cotton and Poly Lycra
Mid Rise Jeans";"Fit: Skinny
Fabric: Cotton and Poly Lycra
Mid Rise Jeans";"";"";"";"";"2016-09-13 00:00:00";"2016-09-27 00:00:00";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"People Skinny Fit Women's Blue Jeans";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"wj001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/p/2/p20402124993251-people-34-400x400-imaebppybzutnkcj.jpeg";"";"4";"0"
"ge";"";"";"";"";"";"";"wj001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/p/2/p20402124993251-people-34-400x400-imaebppyyhj5geh7.jpeg";"";"5";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/ico-blue-star-slim-fit-women-s-light-jeans.html?___store=ge";"12";"wj002";"0";"Ico Blue Star Slim Fit Women's Light Blue Jeans";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/j/s/js-2-lb-ico-blue-star-26-400x400-imaedpd4hdufdcu9.jpeg";"/j/s/js-2-lb-ico-blue-star-28-400x400-imaedpd4cwmbqhne.jpeg";"/j/s/js-2-lb-ico-blue-star-28-400x400-imaedpd4ynb5eqde.jpeg";"ico-blue-star-slim-fit-women-s-light-jeans";"ico-blue-star-slim-fit-women-s-light-jeans.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Shipping";"521.0000";"";"250.0000";"";"Fit: Slim
Fabric: Cotton
Clean Look Mid Rise Jeans
Clean Look
";"Fit: Slim
Fabric: Cotton
Clean Look Mid Rise Jeans
Clean Look
";"";"";"";"";"2016-09-14 00:00:00";"2016-09-30 00:00:00";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Ico Blue Star Slim Fit Women's Light Blue Jeans";"6";"simple";"1";"";"";"";"";"";""
